run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
ee8bd257-5c9f-438d-ae41-b8893d2dbd35,2026-05-11 20:45:49,erlang,mandelbrot,151515,1633100663,,,,,1032192,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,61856,1312,14144204,0,0,0,,,,,0,,,,,,,,,,,,,,43109490
66863559-7adf-405a-b532-ef639e304013,2026-05-11 20:42:17,erlang,fasta,52504,565908043,,,,,1032192,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,28194,577,6221000,34,365111,0,,,,,2470,,,,,,,,,,,,,,19649435
5e52bb15-d035-4d37-ab58-e1038ee1bb94,2026-05-11 20:38:58,erlang,spectral-norm,31818,342945145,,,,,1060864,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,13761,273,2942695,0,0,0,,,,,0,,,,,,,,,,,,,,9590204
d95213e1-7f00-483d-b57f-ed70a057feb6,2026-05-11 20:32:51,erlang,n-body,150974,1627265704,,,,,1163264,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,116260,2148,23157418,43,459863,0,,,,,3111,,,,,,,,,,,,,,81025158
2a108ce7-1ff1-4553-b6a4-cdb5f1201a85,2026-05-11 20:26:01,erlang,fannkuch-redux,166733,1797125179,,,,,1130496,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,67638,1262,13603268,34,365111,0,,,,,2470,,,,,,,,,,,,,,47138944
a80f540e-6b03-41cb-ac7c-75e18be7873f,2026-05-11 20:22:33,erlang,binary-trees,11427,123164713,,,,,1032192,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,6215,487,5252419,0,0,0,,,,,0,,,,,,,,,,,,,,4331303
bd769ca8-c6fc-4867-a422-65e24eb6c3a5,2026-05-11 20:19:43,erlang,mandelbrot,151850,1636703637,,,,,1032192,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,62207,1321,14235013,0,0,0,,,,,0,,,,,,,,,,,,,,43354056
57cc2ebe-c715-483c-984c-490e99544d53,2026-05-11 20:16:07,erlang,fasta,52819,569310265,,,,,1032192,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,28245,579,6243767,11,121211,0,,,,,820,,,,,,,,,,,,,,19684835
27f84b47-2ff6-4e57-8e0c-c910b27b30e4,2026-05-11 20:12:49,erlang,spectral-norm,31715,341836373,,,,,1060864,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,13807,273,2937326,0,0,0,,,,,0,,,,,,,,,,,,,,9622641
1fabf78e-a24d-4e1d-8933-d0ff4f461e72,2026-05-11 20:06:50,erlang,n-body,153543,1654956372,,,,,1163264,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,117056,2162,23303164,48,514999,0,,,,,3484,,,,,,,,,,,,,,81579400
