run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
2460e318-c036-4bc3-86af-207f2b385fed,2026-05-12 04:28:05,lua,mandelbrot,241592,2603989766,,,,,,,,,,335872,,,,,,,,,,,,,,,,,,0,,,,,,,,,115284,2198,23687910,5,54841,0,,,,,,,,,,371,,,,,,,,,80344349
65946e81-62db-466d-ac80-8b0db7a4b34c,2026-05-12 04:23:59,lua,fasta,59712,643606549,,,,,,,,,,335872,,,,,,,,,,,,,,,,,,0,,,,,,,,,42589,838,9033117,0,0,0,,,,,,,,,,0,,,,,,,,,29681169
c3daa733-cb63-4aab-98ed-ff328c0e618c,2026-05-12 04:20:33,lua,spectral-norm,92105,992751420,,,,,,,,,,335872,,,,,,,,,,,,,,,,,,0,,,,,,,,,80991,1499,16155032,35,375458,0,,,,,,,,,,2540,,,,,,,,,56444812
7c76ef27-711f-421e-ade4-3a720653c36b,2026-05-12 04:14:08,lua,n-body,181226,1953336251,,,,,,,,,,335872,,,,,,,,,,,,,,,,,,0,,,,,,,,,159163,2930,31582229,10,105099,0,,,,,,,,,,711,,,,,,,,,110925499
9c9052f0-3d58-4e24-b921-d0ce643268ce,2026-05-12 04:06:39,lua,fannkuch-redux,521805,5624244034,,,,,,,,,,335872,,,,,,,,,,,,,,,,,,0,,,,,,,,,464391,8531,91952062,95,1027189,0,,,,,,,,,,6949,,,,,,,,,323647452
9a7f4994-6a27-4075-9c33-352892bcb9a5,2026-05-12 03:58:36,lua,binary-trees,140364,1512902431,,,,,,,,,,335872,,,,,,,,,,,,,,,,,,0,,,,,,,,,61996,3820,41178803,8,81300,0,,,,,,,,,,550,,,,,,,,,43207045
a71b4ea2-467d-4eec-b842-15e54215a71b,2026-05-12 03:55:13,lua,mandelbrot,241901,2607320770,,,,,,,,,,335872,,,,,,,,,,,,,,,,,,0,,,,,,,,,116210,2212,23843363,44,470210,0,,,,,,,,,,3181,,,,,,,,,80990228
0c2c912f-a66f-4498-9f27-ff6af3a697e9,2026-05-12 03:51:04,lua,fasta,58856,634375465,,,,,,,,,,335872,,,,,,,,,,,,,,,,,,0,,,,,,,,,41337,815,8779891,5,54397,0,,,,,,,,,,368,,,,,,,,,28808642
198387dd-ccfc-42ae-98cc-72f70002072c,2026-05-12 03:47:39,lua,spectral-norm,92032,991959487,,,,,,,,,,335872,,,,,,,,,,,,,,,,,,0,,,,,,,,,80972,1497,16130073,0,0,0,,,,,,,,,,0,,,,,,,,,56431857
eb4bf5cc-46bf-4636-8114-3ec2cc65e200,2026-05-12 03:41:16,lua,n-body,189160,2038852641,,,,,,,,,,335872,,,,,,,,,,,,,,,,,,0,,,,,,,,,167287,3080,33199281,86,922090,0,,,,,,,,,,6238,,,,,,,,,116586983
